1	1.3818
1.005	1.38296
1.01	1.38404
1.015	1.38504
1.02	1.38597
1.025	1.38682
1.03	1.38759
1.035	1.38828
1.04	1.3889
1.045	1.38944
1.05	1.3899
1.055	1.39028
1.06	1.39059
1.065	1.39081
1.07	1.39096
1.075	1.39103
1.08	1.39102
1.085	1.39093
1.09	1.39076
1.095	1.39052
1.1	1.39019
1.105	1.38978
1.11	1.3893
1.115	1.38874
1.12	1.38809
1.125	1.38737
1.13	1.38656
1.135	1.38568
1.14	1.38472
1.145	1.38367
1.15	1.38255
1.155	1.38135
1.16	1.38006
1.165	1.3787
1.17	1.37725
1.175	1.37573
1.18	1.37412
1.185	1.37244
1.19	1.37067
1.195	1.36882
1.2	1.3669
1.205	1.36489
1.21	1.3628
1.215	1.36063
1.22	1.35837
1.225	1.35604
1.23	1.35363
1.235	1.35113
1.24	1.34856
1.245	1.3459
1.25	1.34316
1.255	1.34035
1.26	1.33745
1.265	1.33447
1.27	1.3314
1.275	1.32826
1.28	1.32504
1.285	1.32173
1.29	1.31835
1.295	1.31488
1.3	1.31133
1.305	1.30771
1.31	1.304
1.315	1.3002
1.32	1.29633
1.325	1.29238
1.33	1.28835
1.335	1.28423
1.34	1.28004
1.345	1.27577
1.35	1.27141
1.355	1.26697
1.36	1.26246
1.365	1.25786
1.37	1.25318
1.375	1.24842
1.38	1.24358
1.385	1.23867
1.39	1.23367
1.395	1.22859
1.4	1.22343
1.405	1.21819
1.41	1.21287
1.415	1.20748
1.42	1.202
1.425	1.19644
1.43	1.19081
1.435	1.18509
1.44	1.17929
1.445	1.17342
1.45	1.16747
1.455	1.16144
1.46	1.15533
1.465	1.14914
1.47	1.14287
1.475	1.13652
1.48	1.1301
1.485	1.1236
1.49	1.11702
1.495	1.11036
1.5	1.10363
1.505	1.09681
1.51	1.08992
1.515	1.08296
1.52	1.07591
1.525	1.06879
1.53	1.06159
1.535	1.05432
1.54	1.04697
1.545	1.03954
1.55	1.03204
1.555	1.02446
1.56	1.01681
1.565	1.00908
1.57	1.00127
1.575	0.993395
1.58	0.985441
1.585	0.977412
1.59	0.969308
1.595	0.961131
1.6	0.952879
1.605	0.944553
1.61	0.936154
1.615	0.927682
1.62	0.919136
1.625	0.910518
1.63	0.901826
